position=< -9767,  50146> velocity=< 1, -5>
position=< 20243,  20134> velocity=<-2, -2>
position=< -9771,  50141> velocity=< 1, -5>
position=< 20206, -49884> velocity=<-2,  5>
position=< 30233,  40142> velocity=<-3, -4>
position=<-29829,  30132> velocity=< 3, -3>
position=<-39787, -19879> velocity=< 4,  2>
position=< 40188,  30138> velocity=<-4, -3>
position=<-19811, -49890> velocity=< 2,  5>
position=< -9771, -19880> velocity=< 1,  2>
position=< 30188, -39880> velocity=<-3,  4>
position=<-29788, -29882> velocity=< 3,  3>
position=<-19790, -39886> velocity=< 2,  4>
position=< 10179, -39881> velocity=<-1,  4>
position=< 10211,  -9871> velocity=<-1,  1>
position=< 30238,  20137> velocity=<-3, -2>
position=< 50239, -19878> velocity=<-5,  2>
position=< 40204,  30135> velocity=<-4, -3>
position=< 40225,  40139> velocity=<-4, -4>
position=< 40231,  50143> velocity=<-4, -5>
position=<-19793,  40141> velocity=< 2, -4>
position=< 50247,  50146> velocity=<-5, -5>
position=< 50203,  20129> velocity=<-5, -2>
position=< 10238,  10132> velocity=<-1, -1>
position=< 30217, -39888> velocity=<-3,  4>
position=< 50193,  30132> velocity=<-5, -3>
position=<-49803, -39881> velocity=< 5,  4>
position=<-29820, -29877> velocity=< 3,  3>
position=< 30238,  20138> velocity=<-3, -2>
position=< 20207,  10126> velocity=<-2, -1>
position=<-39803,  40136> velocity=< 4, -4>
position=< 50248, -39888> velocity=<-5,  4>
position=<-19801, -29884> velocity=< 2,  3>
position=< 40244,  -9876> velocity=<-4,  1>
position=<-49799,  50145> velocity=< 5, -5>
position=<-19806,  50140> velocity=< 2, -5>
position=< 20223,  20134> velocity=<-2, -2>
position=<-29813, -49891> velocity=< 3,  5>
position=<-29809, -49883> velocity=< 3,  5>
position=< -9819,  30141> velocity=< 1, -3>
position=< 40220,  10130> velocity=<-4, -1>
position=< -9771,  10131> velocity=< 1, -1>
position=< 50192, -49883> velocity=<-5,  5>
position=< 30244, -19877> velocity=<-3,  2>
position=< 50247,  50143> velocity=<-5, -5>
position=< 10240,  50138> velocity=<-1, -5>
position=<-49830, -19874> velocity=< 5,  2>
position=<-19780,  20129> velocity=< 2, -2>
position=< 40241,  50147> velocity=<-4, -5>
position=< 50217, -29882> velocity=<-5,  3>
position=< 40228,  40141> velocity=<-4, -4>
position=<-39804,  50141> velocity=< 4, -5>
position=< 40198, -49887> velocity=<-4,  5>
position=< -9803, -49886> velocity=< 1,  5>
position=<-19817, -49890> velocity=< 2,  5>
position=<-49835,  10135> velocity=< 5, -1>
position=< 10219,  50146> velocity=<-1, -5>
position=< 40188, -39884> velocity=<-4,  4>
position=<-29832,  -9880> velocity=< 3,  1>
position=< 40201,  40136> velocity=<-4, -4>
position=<-49791,  20129> velocity=< 5, -2>
position=< 20222,  30134> velocity=<-2, -3>
position=< 20207,  30132> velocity=<-2, -3>
position=<-29817, -19880> velocity=< 3,  2>
position=< 20206, -29881> velocity=<-2,  3>
position=<-29833,  10127> velocity=< 3, -1>
position=< 40249,  30136> velocity=<-4, -3>
position=<-19820,  30137> velocity=< 2, -3>
position=< 30237,  -9873> velocity=<-3,  1>
position=< 20217, -39884> velocity=<-2,  4>
position=< 50191,  10130> velocity=<-5, -1>
position=<-29825,  50146> velocity=< 3, -5>
position=< 10192,  10135> velocity=<-1, -1>
position=< 50191,  10130> velocity=<-5, -1>
position=< 50223,  20129> velocity=<-5, -2>
position=< 20238,  40138> velocity=<-2, -4>
position=< 30221,  -9872> velocity=<-3,  1>
position=<-49803, -39881> velocity=< 5,  4>
position=<-39836, -39887> velocity=< 4,  4>
position=<-29820, -29885> velocity=< 3,  3>
position=<-29806,  -9876> velocity=< 3,  1>
position=<-29791, -19883> velocity=< 3,  2>
position=<-49835,  50147> velocity=< 5, -5>
position=<-39825, -19874> velocity=< 4,  2>
position=<-49806, -39887> velocity=< 5,  4>
position=< -9766,  10134> velocity=< 1, -1>
position=<-19819, -49892> velocity=< 2,  5>
position=<-49778,  10135> velocity=< 5, -1>
position=< 20231, -29886> velocity=<-2,  3>
position=< -9817, -19883> velocity=< 1,  2>
position=< -9778,  20133> velocity=< 1, -2>
position=< 50220, -19881> velocity=<-5,  2>
position=< 10211,  40144> velocity=<-1, -4>
position=<-39783,  30133> velocity=< 4, -3>
position=<-19769,  40135> velocity=< 2, -4>
